audit_id,article_id,headline,source,url,trading_date,timestamp_basis,match_category,published_at,seen_at,gkg_record_id,human_label,human_notes
HDFC_AUDIT_001,6457295956ae6a4cf95dbdb4b858520037a31d01,HDFC Bank Limited (NYSE:HDB) Position Lifted by Foresight Global Investors Inc.,wkrb13.com,https://www.wkrb13.com/2024/01/01/hdfc-bank-limited-nysehdb-position-lifted-by-foresight-global-investors-inc.html,2024-01-02,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-01T20:45:00+05:30,20240101151500-229,DIRECTLY_RELEVANT,
HDFC_AUDIT_002,3aad7d02b2af7c70a1dbe67b1b60dba6a7c0e8c5,HDFC Bank goes live with 'UPI for secondary market' facility in stock trading; see details,businesstoday.in,https://www.businesstoday.in/technology/news/story/hdfc-bank-goes-live-with-upi-for-secondary-market-facility-in-stock-trading-see-details-411477-2024-01-02,2024-01-02,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-02T09:15:00+05:30,20240102034500-652,DIRECTLY_RELEVANT,
HDFC_AUDIT_003,7089eeb79daf27bf85a0a0b48a23e8a99c1cd350,HDFC Bank Acts As a Sponsor and Destination Bank For Facilitating ASBA in Secondary Market,udaipurkiran.com,https://udaipurkiran.com/hdfc-bank-acts-as-a-sponsor-and-destination-bank-for-facilitating-asba-in-secondary-market,2024-01-03,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-03T09:15:00+05:30,20240103034500-378,DIRECTLY_RELEVANT,
HDFC_AUDIT_004,18cfaf1150c0acc601eb232bce1730591f6b1a92,"FD rate hikes: Latest fixed deposit rates by 6 major lenders including SBI, HDFC Bank and ICICI Bank",livemint.com,https://www.livemint.com/money/personal-finance/fd-rate-hikes-latest-fixed-deposit-rates-by-sbi-hdfc-bank-icici-bank-axis-bank-dcb-bank-bank-of-baroda-11704283999893.html,2024-01-04,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-03T20:00:00+05:30,20240103143000-117,INDIRECTLY_RELEVANT,Multi-bank FD rate listicle
HDFC_AUDIT_005,b260d2aeb32bbe408ba9e97eb06ed6e644530c0f,"Market Outlook: 2024 time to be cautious, not fearful, says Sharekhan; DLF, HDFC Bank, Hero Moto among 12 top picks",livemint.com,https://www.livemint.com/market/stock-market-news/market-outlook-2024-time-to-be-cautious-not-fearful-says-sharekhan-dlf-hdfc-bank-hero-moto-lupin-among-top-picks-11704351009145.html,2024-01-04,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-04T14:45:00+05:30,20240104091500-156,INDIRECTLY_RELEVANT,Multi-stock top-picks list
HDFC_AUDIT_006,2e6c88c9d1a1be654f5c068d432d46797cddbfed,"How will HDFC Bank, Axis Bank, SBI and others perform in 2024? 5 key trends that will determine banks' performance",livemint.com,https://www.livemint.com/market/stock-market-news/how-will-hdfc-bank-axis-bank-sbi-icici-kotak-perform-in-2024-5-key-trends-that-will-determine-banks-performance-11704357131792.html,2024-01-05,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-04T16:15:00+05:30,20240104104500-266,INDIRECTLY_RELEVANT,Multi-bank sector outlook
HDFC_AUDIT_007,901363ba8822ef3bc27f9e93adbadc221dc6155f,"Bajaj Finance, Tata Consumer top gainers on Nifty50; HDFC Bank, ICICI most active on Jan 4",businesstoday.in,https://www.businesstoday.in/visualstories/stock/bajaj-finance-tata-consumer-top-gainers-on-nifty50-hdfc-bank-icici-most-active-on-jan-4-86443-04-01-2024,2024-01-05,publisher_published_at,A: Explicit HDFC Bank,2024-01-04T18:04:00+05:30,2024-01-04T18:45:00+05:30,20240104131500-448,INDIRECTLY_RELEVANT,Multi-stock movers list
HDFC_AUDIT_008,742fe610a7a9bb2e88961d75e8ed047b1d949700,hdfc bank q3 update: HDFC Bank Q3 Update: Gross advances jump 62% YoY to Rs 24.69 lakh crore,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/hdfc-bank-q3-update-lenders-gross-advances-jump-62-to-24-69-lakh-crore/articleshow/106561083.cms,2024-01-05,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-05T10:45:00+05:30,20240105051500-815,DIRECTLY_RELEVANT,
HDFC_AUDIT_009,064b0436e521f5b1e3cc574beeb7db3671397cb1,"HDFC Bank shares Q3 business update, says advances jump 62.4%, deposits 27.7%",businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/hdfc-bank-shares-q3-business-update-says-advances-jump-624-deposits-277-411962-2024-01-05,2024-01-05,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-05T11:00:00+05:30,20240105053000-77,DIRECTLY_RELEVANT,
HDFC_AUDIT_010,ff6fa6f7e00efd447e1ad0c2f5791cc278463e62,"Adani Ports, L&T, TCS top gainers on Nifty50; HDFC Bank, ICICI most active on Jan 5",businesstoday.in,https://www.businesstoday.in/visualstories/stock/adani-ports-l-t-tcs-top-gainers-on-nifty50-hdfc-bank-icici-most-active-on-jan-5-86655-05-01-2024,2024-01-08,publisher_published_at,A: Explicit HDFC Bank,2024-01-05T18:09:00+05:30,2024-01-05T19:00:00+05:30,20240105133000-1305,INDIRECTLY_RELEVANT,Multi-stock movers list
HDFC_AUDIT_011,5bf440af71bc23c721fe1f564d8939fc61ecb88d,"Mcap of 6 of Top-10 Most Valued Firms Decline by Rs 57,408 Crore; TCS, HDFC Bank Major Laggards",news18.com,https://www.news18.com/business/mcap-of-6-of-top-10-most-valued-firms-decline-by-rs-57408-crore-tcs-hdfc-bank-major-laggards-8731006.html,2024-01-08,publisher_published_at,A: Explicit HDFC Bank,2024-01-07T13:14:00+05:30,2024-01-07T13:45:00+05:30,20240107081500-226,INDIRECTLY_RELEVANT,"Multi-company mcap roundup,  HDFC one of several laggards"
HDFC_AUDIT_012,1a80d507ddbae91337ee39b1e3a8c11c86ddf214,"M-cap of 6 of top-10 most valued firms decline by Rs 57,408 crore; TCS, HDFC Bank major laggards",tribuneindia.com,https://www.tribuneindia.com/news/business/m-cap-of-6-of-top-10-most-valued-firms-decline-by-rs-57-408-crore-tcs-hdfc-bank-major-laggards-579122,2024-01-08,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-07T16:45:00+05:30,20240107111500-673,INDIRECTLY_RELEVANT,"Multi-company mcap roundup,  HDFC one of several laggards"
HDFC_AUDIT_013,632296d37e8b6cbe09ba6a017f66576ef6c3ea32,"HDFC Bank, Tata Steel, RIL, ICICI, JSW Steel to drive Q3 Nifty results, says Motilal. Full table",businesstoday.in,https://www.businesstoday.in/markets/stocks/story/hdfc-bank-tata-steel-ril-icici-jsw-steel-to-drive-q3-nifty-results-says-motilal-full-table-412218-2024-01-08,2024-01-08,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-08T12:45:00+05:30,20240108071500-1107,INDIRECTLY_RELEVANT,Multi-stock Q3 preview roundup
HDFC_AUDIT_014,3379ea9b1b999769ca18ade36ad4057f081e4c1e,"Consumer Loans To Get Costlier? HDFC, Other Banks Hike MCLR; Check Its Impact",outlookindia.com,https://business.outlookindia.com/loans/consumer-loans-to-get-costlier-hdfc-other-banks-hike-mclr-check-its-impact,2024-01-10,gdelt_gkg_observation,B: Bare HDFC,,2024-01-09T17:30:00+05:30,20240109120000-182,INDIRECTLY_RELEVANT,"Bare HDFC match - MCLR hike story groups HDFC with other banks,  same pattern as FD listicle"
HDFC_AUDIT_015,9662d2bdd9a9cec8640f4f96a179cb08b8288799,"Hero MotoCorp, Adani Ports top gainers on Nifty50; HDFC Bank most active on Jan 9",businesstoday.in,https://www.businesstoday.in/visualstories/stock/hero-motocorp-adani-ports-top-gainers-on-nifty50-hdfc-bank-most-active-on-jan-9-87379-09-01-2024,2024-01-10,publisher_published_at,A: Explicit HDFC Bank,2024-01-09T16:50:00+05:30,2024-01-09T18:15:00+05:30,20240109124500-1487,INDIRECTLY_RELEVANT,Multi-stock movers list
HDFC_AUDIT_016,592f1e69a4861e9178e9b30d64999b8294174198,"Senior Citizen Saving Scheme vs SBI, HDFC Bank, ICICI Bank, Axis Bank, and PNB fixed deposits: Which gives the highest interest rate?",indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/senior-citizen-saving-scheme-vs-sbi-hdfc-bank-icici-bank-axis-bank-and-pnb-fixed-deposits-which-gives-the-highest-interest-rate/articleshow/106697910.cms,2024-01-11,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-10T17:15:00+05:30,20240110114500-1174,INDIRECTLY_RELEVANT,Multi-bank FD comparison
HDFC_AUDIT_017,a17a00c81957366a4c70f68e894b24ec2795e531,"C WorldWide Asia minskade 0,5 procent i december - positiva bidrag från Samsung Electronics och HDFC Bank",realtid.se,https://www.realtid.se/telegram/c-worldwide-asia-minskade-05-procent-i-december-positiva-bidrag-fran-samsung-electronics-och-hdfc-bank,2024-01-11,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-10T20:30:00+05:30,20240110150000-T497,INDIRECTLY_RELEVANT,Fund commentary naming multiple holdings
HDFC_AUDIT_018,0550ab8b781b511249f1be673921ae262ca977f1,HDFC Bank Limited (NYSE:HDB) Shares Acquired by Whittier Trust Co.,themarketsdaily.com,https://www.themarketsdaily.com/2024/01/13/hdfc-bank-limited-nysehdb-shares-acquired-by-whittier-trust-co.html,2024-01-15,gdelt_gkg_observation,A: Explicit HDFC Bank,,2024-01-13T22:45:00+05:30,20240113171500-664,DIRECTLY_RELEVANT,
