record_id,stage,page_title,url,source,DATE,reason
20250101000000-T485,entity_matcher_rejected,Mónica Casamiquela fue despedida con gratitud en su último día en TCS,https://www.elsalvador.com/entretenimiento/espectaculos/monica-casamiquela-despedida-gratitud-ultimo-dia-tcs-liberadas/1190894/2024/,elsalvador.com,20250101000000,Entity matcher rejected (no positive signal or matched exclusion)
20250101004500-272,entity_matcher_rejected,Companies expected to increase Gen AI investments by half this year,https://www.livemint.com/technology/companies-expected-to-increase-gen-ai-investments-by-half-this-year-11735644447856.html,livemint.com,20250101004500,Entity matcher rejected (no positive signal or matched exclusion)
20250101020000-T310,entity_matcher_rejected,"Stocks to Watch: नए साल के पहले दिन Crisil और Rites समेत ये शेयर कराएंगे फायदा, तेजी के संकेत",https://navbharattimes.indiatimes.com/business/share-market/share-news/stock-market-prediction-today-these-shares-including-crisil-and-rites-showing-bullish-bias/articleshow/116838976.cms,indiatimes.com,20250101020000,Entity matcher rejected (no positive signal or matched exclusion)
20250101023000-772,entity_matcher_rejected,Indian IT services firms must redefine their playbook to crack the European code,https://economictimes.indiatimes.com/prime/technology-and-startups/indian-it-services-firms-must-redefine-their-playbook-to-crack-the-european-code/primearticleshow/116839169.cms,indiatimes.com,20250101023000,Entity matcher rejected (no positive signal or matched exclusion)
20250101023000-417,entity_matcher_rejected,Republicans and Trump's team diverge on immigration,https://www.thehindu.com/data/republicans-donald-trump-team-diverge-on-immigration/article69045518.ece,thehindu.com,20250101023000,Entity matcher rejected (no positive signal or matched exclusion)
20250101030000-304,entity_matcher_rejected,"Stock Market Live Updates January 1, 2025: Stock to buy today: Petronet LNG (₹346) BUY",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-january-1-2025/article69047392.ece,thehindubusinessline.com,20250101030000,Entity matcher rejected (no positive signal or matched exclusion)
20250101034500-T67,entity_matcher_rejected,Sensex falls in final session of 2024,https://www.tarunbharat.com/sensex-falls-in-final-session-of-2024/,tarunbharat.com,20250101034500,Entity matcher rejected (no positive signal or matched exclusion)
20250101053000-99,entity_matcher_rejected,Indices: Stock market update: Nifty IT index 0.03% in an upbeat market,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-0-03-in-an-upbeat-market/articleshow/116846952.cms,indiatimes.com,20250101053000,Entity matcher rejected (no positive signal or matched exclusion)
20250101113000-399,entity_matcher_rejected,Indices: Stock market update: Nifty IT index 0.08%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-0-08/articleshow/116855852.cms,indiatimes.com,20250101113000,Entity matcher rejected (no positive signal or matched exclusion)
20250101113000-T2609,entity_matcher_rejected,"यूपी के युवाओं के लिए बड़ी खुशखबरी, योगी सरकार ने रोजगार मिशन का किया गठन... विदेशों में भी नौकरी के अवसर - uttar pradesh Rojgar Mission to Provide Employment Opportunities for Youth by yogi government",https://www.jagran.com/uttar-pradesh/lucknow-city-uttar-pradesh-rojgar-mission-to-provide-employment-opportunities-for-youth-by-yogi-government-23859308.html,jagran.com,20250101113000,Entity matcher rejected (no positive signal or matched exclusion)
