gkg_record_id,headline,source,url,reason
20241001060000-652,"Cyient, Nalco, Jindal Steel, ICICI Prudential Life: Here are target prices for 4 stocks",businesstoday.in,https://www.businesstoday.in/markets/stocks/story/cyient-nalco-jindal-steel-icici-prudential-life-here-are-target-prices-for-4-stocks-448248-2024-10-01,Filtered by BigQueryGKGExtractor
20241001073000-192,ICICI Lombard Share Price: Shares of ICICI Lombard  fall  as Nifty  drops,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-icici-lombard-fall-as-nifty-drops/articleshow/113841321.cms,Filtered by BigQueryGKGExtractor
20241001083000-1322,Buy Adani Energy Solutions; target of Rs 1318: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-adani-energy-solutions-target-of-rs-1318-icici-securities-12833256.html,Filtered by BigQueryGKGExtractor
20241001094500-204,"ICICI Securities initiates coverage on Adani Energy, sees 30% upside potential",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/icici-securities-initiates-coverage-on-adani-energy-sees-30-upside-potential/articleshow/113845963.cms,Filtered by BigQueryGKGExtractor
20241001101500-281,ICICI Venture-backed Indifi's co-founder Mahanot steps down from executive role,vccircle.com,https://www.vccircle.com:443/iciciventure-backed-indifi-s-co-founder-mahanot-steps-down-from-executive-role,Filtered by BigQueryGKGExtractor
20241001104500-461,NCLAT issues notice to ICICI Securities in delisting case,livemint.com,https://www.livemint.com/companies/news/icici-securities-icici-bank-delisting-norms-nclt-nclat-11727773074329.html,Filtered by BigQueryGKGExtractor
20241002131500-51,"Mutual Global Insurance Broking, in Association with ICICI Lombard, Organizes a Value-Packed Awareness Event for Infra-Developers & Builders",webindia123.com,https://news.webindia123.com/news/Articles/Business/20241002/4241561.html,Filtered by BigQueryGKGExtractor
20241002144500-1249,"Mutual Global Insurance Broking, in Association with ICICI Lombard, Organizes a Value-Packed Awareness Event for Infra-Developers & Builders",srilankasource.com,https://www.srilankasource.com/news/274661996/mutual-global-insurance-broking-in-association-with-icici-lombard-organizes-a-value-packed-awareness-event-for-infra-developers--builders,Filtered by BigQueryGKGExtractor
20241002144500-1583,"Mutual Global Insurance Broking, in Association with ICICI Lombard, Organizes a Value-Packed Awareness Event for Infra-Developers & Builders",aninews.in,https://aninews.in/news/business/mutual-global-insurance-broking-in-association-with-icici-lombard-organizes-a-value-packed-awareness-event-for-infra-developers-amp-builders20241002180346/,Filtered by BigQueryGKGExtractor
20241003040000-1044,"NCLAT issues notice to ICICI Bank, ICICI Securities in delisting matter",moneycontrol.com,https://www.moneycontrol.com/news/business/markets/nclat-issues-notice-to-icici-bank-icici-securities-in-delisting-matter-12834396.html,Filtered by BigQueryGKGExtractor
20241003070000-715,ICICI Lombard Share Price: ICICI Lombard share price  down  0.71 per cent,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-lombard-share-price-down-0-71-per-cent/articleshow/113897569.cms,Filtered by BigQueryGKGExtractor
20241003083000-1144,"NFO alert: ICICI Prudential MF's passive funds, Aditya Birla's new target fund in focus",businesstoday.in,https://www.businesstoday.in/personal-finance/investment/story/nfo-alert-icici-prudential-mfs-passive-funds-aditya-birlas-new-target-fund-in-focus-448521-2024-10-03,Filtered by BigQueryGKGExtractor
20241003083000-615,"T20 World Cup: Disney Star ropes in Dream11, ICICI, Maruti & 11 others as sponsors",indiatimes.com,https://economictimes.indiatimes.com/industry/services/advertising/t20-world-cup-disney-star-ropes-in-dream11-icici-maruti-11-others-as-sponsors/articleshow/113900248.cms,Filtered by BigQueryGKGExtractor
20241003104500-51,ICICI Lombard and IRM India Release 2nd India Risk Report: A Deep Dive into Risk Culture,webindia123.com,https://news.webindia123.com/news/Articles/Business/20241003/4241853.html,Filtered by BigQueryGKGExtractor
20241003110000-129,ICICI Lombard and IRM India Release 2nd India Risk Report: A Deep Dive into Risk Culture,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274665597/icici-lombard-and-irm-india-release-2nd-india-risk-report-a-deep-dive-into-risk-culture,Filtered by BigQueryGKGExtractor
20241003120000-169,ICICI Lombard and IRM India Release 2nd India Risk Report: A Deep Dive into Risk Culture,srilankasource.com,https://www.srilankasource.com/news/274665597/icici-lombard-and-irm-india-release-2nd-india-risk-report-a-deep-dive-into-risk-culture,Filtered by BigQueryGKGExtractor
