gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,notes
20240101023000-493,20240101023000,indiatimes.com,https://economictimes.indiatimes.com/wealth/invest/motilal-oswal-flexi-cap-mutual-fund-is-on-a-long-road-to-recovery-should-you-invest/articleshow/106394579.cms,Motilal Oswal Flexi Cap mutual fund is on a long road to recovery; should you invest?,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101040000-T201,20240101040000,sharemanthan.in,https://www.sharemanthan.in/technical-tips/intraday-tips/73619-reliance-secrities-market-lens-intraday-calls-20240101,"बजाज फिनसर्व और आईटीसी खरीदें, डॉ रेड्डीज लैबोरेट्रीज बेचें : रिलायंस सिक्योरिटीज",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101053000-163,20240101053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/106434754.cms,Stock Market Sectors: Stock market update: Mining stocks down as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101111500-556,20240101111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/106453501.cms,Stock Market Sectors: Stock market update: Power stocks up as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101111500-257,20240101111500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty-close-flat-in-new-years-first-trading-session-dragged-by-banking-stocks/articleshow/106453315.cms,"sensex today: Sensex, Nifty kick off 2024 on a flat note dragged by banking, auto stocks",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101114500-766,20240101114500,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/01/del24-biz-stocks-close.html,Sensex Nifty kick off 2024 on a flat note,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101114500-636,20240101114500,orissapost.com,https://www.orissapost.com/sensex-nifty-kick-off-2024-on-a-flat-note/,"Sensex, Nifty kick off 2024 on a flat note",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101120000-234,20240101120000,tribuneindia.com,https://www.tribuneindia.com/news/business/sensex-nifty-kick-off-2024-on-a-flat-note-577314,"Sensex, Nifty kick off 2024 on a flat note",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101120000-626,20240101120000,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/sensex-nifty-kick-off-2024-on-a-flat-note/article67695259.ece,"Sensex, Nifty kick off 2024 on a flat note - The Hindu BusinessLine",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
20240101121500-490,20240101121500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-falls/articleshow/106455001.cms,Stock Market Sectors: Stock market update: Mining stocks down as market falls,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic V2Organizations match without Bajaj Finance in headline
