record_id,stage,page_title,url,source,DATE,reason
20241001020000-187,entity_matcher_rejected,IT services hiring: IT's fresher hiring may double in FY25 on demand rebound,https://economictimes.indiatimes.com/tech/information-tech/its-fresher-hiring-may-double-in-fy25-on-demand-rebound/articleshow/113826767.cms,indiatimes.com,20241001020000,Entity matcher rejected (no positive signal or matched exclusion)
20241001030000-T6,entity_matcher_rejected,1.21 lakh crore increase in market capitalization of 8 companies,https://www.tarunbharat.com/1-21-lakh-crore-increase-in-market-capitalization-of-8-companies/,tarunbharat.com,20241001030000,Entity matcher rejected (no positive signal or matched exclusion)
20241001053000-970,entity_matcher_rejected,India looks to Singapore firms to support its semiconductor ambitions,https://asianews.network/india-looks-to-singapore-firms-to-support-its-semiconductor-ambitions/,asianews.network,20241001053000,Entity matcher rejected (no positive signal or matched exclusion)
20241001061500-158,entity_matcher_rejected,Indices: Stock market update: Nifty IT index advances 0.44% in a weak market,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-advances-0-44-in-a-weak-market/articleshow/113838483.cms,indiatimes.com,20241001061500,Entity matcher rejected (no positive signal or matched exclusion)
20241001100000-1071,entity_matcher_rejected,Sensex is near record high but these Tata stocks have not performed well. Do you own any?,https://www.businesstoday.in/markets/stocks/story/sensex-is-near-record-high-but-these-tata-stocks-have-not-performed-well-do-you-own-any-448282-2024-10-01,businesstoday.in,20241001100000,Entity matcher rejected (no positive signal or matched exclusion)
20241001103000-670,entity_matcher_rejected,TCS Sustainathon challenges youth,https://it-online.co.za/2024/10/01/tcs-sustainathon-challenges-youth/,it-online.co.za,20241001103000,Entity matcher rejected (no positive signal or matched exclusion)
20241001104500-T2411,entity_matcher_rejected,TCS: 40 ఏళ్ల నాటి టీసీఎస్‌ ఆఫర్‌ లెటర్‌ వైరల్‌.. అప్పట్లో జీతం ఎంతంటే?,https://www.eenadu.net/telugu-news/business/retired-ias-officer-reveals-first-salary-tcs-mumbai-offered-him-40-years-ago/0101/124179171,eenadu.net,20241001104500,Entity matcher rejected (no positive signal or matched exclusion)
20241001113000-1319,entity_matcher_rejected,TCS opens its 2024 Sustainathon with R35k for winning team,https://htxt.co.za/2024/10/tcs-opens-its-2024-sustainathon-with-r35k-for-winning-team/,htxt.co.za,20241001113000,Entity matcher rejected (no positive signal or matched exclusion)
20241001114500-1578,entity_matcher_rejected,"Meet Pakistani man who built Ratan Tata Rs 1378000000000 company, also called father of Indian...",https://www.india.com/business/meet-pakistani-man-who-built-ratan-tata-rs-1378000000000-company-also-called-father-of-indian-faqir-chand-kohli-7290114/,india.com,20241001114500,Entity matcher rejected (no positive signal or matched exclusion)
20241001121500-1586,entity_matcher_rejected,Application Management Services Market Advancements Highlighted by Size And Growth Report 2024,https://whatech.com/og/markets-research/it/889693-application-management-services-market-size-and-growth-report-2024.html,whatech.com,20241001121500,Entity matcher rejected (no positive signal or matched exclusion)
20241001130000-1376,entity_matcher_rejected,TDS from salaries: TDS deposit rules for employers relaxed from today (Oct 1): What does this mean?,https://www.businesstoday.in/personal-finance/tax/story/tds-from-salaries-tds-deposit-rules-for-employers-relaxed-from-today-oct-1-what-does-this-mean-448326-2024-10-01,businesstoday.in,20241001130000,Entity matcher rejected (no positive signal or matched exclusion)
