gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,notes
20240401004500-559,20240401004500,lawgazette.co.uk,https://www.lawgazette.co.uk/news/uk-corporates-sign-in-house-pro-bono-pledge/5119230.article,UK corporates sign in-house pro bono pledge,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401013000-315,20240401013000,indianexpress.com,https://indianexpress.com/section/technology/techook/,"Techook: Latest Technology News, Mobile Phones, Smartphones News and Updates",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401013000-499,20240401013000,financialexpress.com,https://www.financialexpress.com/business/industry-duopoly-check-vnos-may-get-more-room-3442344/,Duopoly check: VNOs may get more room,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401021500-212,20240401021500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-1st-april-2024/article68012792.ece,"Stock Market Live Updates: Sensex, Nifty hope to build on FY24's strong finish, eyes on RBI MPC meet",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401021500-148,20240401021500,udaipurkiran.com,https://udaipurkiran.com/government-has-taken-up-the-idea-of-airtel-reliance-jio-and-vodafone-to-end-usst-based-call-forwarding-on-smartphones-from-april-15/,"government has taken up the idea of ​​Airtel, Reliance Jio and Vodafone to end USST-based call forwarding on smartphones from April 15",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401031500-T1117,20240401031500,jagran.com,https://www.jagran.com/technology/tech-news-government-to-reliance-jio-airtel-and-vodafone-idea-suspend-ussd-based-call-forwarding-on-smartphones-23687031.html,"Call Forwarding स्कैम पर लगने जा रही लगाम, सरकार ने टेलीकॉम कंपनियों को दिया ये आदेश - Government to Reliance Jio Airtel and Vodafone Idea Suspend USSD based call forwarding on smartphones",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401034500-251,20240401034500,moneycontrol.com,https://www.moneycontrol.com/news/business/morning-scan-all-the-big-stories-to-get-you-started-for-the-day-686-12551921.html,Morning Scan: All the big stories to get you started for the day,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401034500-252,20240401034500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/moneycontrol-pro-market-outlook-high-probability-of-markets-touching-new-highs-during-the-week-12548731.html,Moneycontrol Pro Market Outlook | High probability of markets touching new highs during the week,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401051500-389,20240401051500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/108931981.cms,Stock Market Sectors: Stock market update: Power stocks up as market rises,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
20240401051500-866,20240401051500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/108932086.cms,Stock Market Sectors: Stock market update: Sugar stocks up as market rises,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,Generic match without direct Bharti Airtel relevance
