audit_id,article_id,date_extracted,timestamp_basis,source,headline,url,human_label,human_notes
ITC_OCT_AUDIT_001,d8ef665ce350d8425cdd720be75e3c1321924a18,,gdelt_gkg_observation,moneycontrol.com,ITC arm ITC Infotech acquires cloud solutions firm Blazeclan Technologies for Rs 485 cr,https://www.moneycontrol.com/news/business/companies/itc-arm-itc-infotech-acquires-cloud-solutions-firm-blazeclan-technologies-for-rs-485-cr-12833816.html,DIRECTLY_RELEVANT,"Direct operational earnings, NCLT hotel demerger approval, IT acquisition, or standalone brokerage rating for ITC Limited."
ITC_OCT_AUDIT_002,17227f9deba0d7519fd002fd4cdcb9807f5ba5a5,,gdelt_gkg_observation,indiatimes.com,"Stocks in news: Stocks in news: Angel One, Maruti Suzuki, Dabur, Marico, Aurobindo Pharma, ITC",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-angel-one-maruti-suzuki-dabur-marico-aurobindo-pharma-itc/articleshow/113882274.cms,INDIRECTLY_RELEVANT,Indirect financial / multi-asset mention.
ITC_OCT_AUDIT_003,7ca016f41ac2c77af797a829cacaeec2fe1bd320,,gdelt_gkg_observation,financialexpress.com,"Stocks To Watch: Suzlon Energy, Reliance Power, Mankind Pharma, ITC, Maruti Suzuki India, Hero MotoCorp, Coal India, KRN Heat Exchanger",https://www.financialexpress.com/market/stocks-to-watch-suzlon-energy-reliance-power-mankind-pharma-itc-maruti-suzuki-india-hero-motocorp-coal-india-krn-heat-exchanger-3628933,INDIRECTLY_RELEVANT,Indirect financial / multi-asset mention.
ITC_OCT_AUDIT_004,98ac3714675d7ea1e77fbcb29c22b058daf9a416,,gdelt_gkg_observation,businesstoday.in,"Stocks in news: KRN Heat, Hero Moto, ITC, Mankind, Dabur, Zydus Life, Ujjivan SFB & NMDC",https://www.businesstoday.in/markets/story/stocks-in-news-krn-heat-hero-moto-itc-mankind-dabur-zydus-life-ujjivan-sfb-nmdc-448485-2024-10-03,INDIRECTLY_RELEVANT,Indirect financial / multi-asset mention.
ITC_OCT_AUDIT_005,d7720e33df1232140f87eb19e161136eb4212943,,gdelt_gkg_observation,businesstoday.in,ITC shares in news today on Rs 485-crore acquisition in IT space,https://www.businesstoday.in/markets/company-stock/story/itc-shares-in-news-today-on-rs-485-crore-acquisition-in-it-space-448483-2024-10-03,DIRECTLY_RELEVANT,"Direct operational earnings, NCLT hotel demerger approval, IT acquisition, or standalone brokerage rating for ITC Limited."
ITC_OCT_AUDIT_006,1f7648630b383ccd72e8d5b8fe7986625bc9ebb8,,gdelt_gkg_observation,moneycontrol.com,"Stock Radar: Eicher Motors, Hero MotoCorp, Mankind Pharma, Ashoka Buildcon, KRN Heat, ITC in focus on Thursday",https://www.moneycontrol.com/news/business/markets/stock-radar-eicher-motors-hero-motocorp-mankind-pharma-ashoka-buildcon-krn-heat-itc-in-focus-on-thursday-12834361.html,INDIRECTLY_RELEVANT,Indirect financial / multi-asset mention.
ITC_OCT_AUDIT_007,b6017df1b9232009c4bb0e90bc32860b04f07f93,,gdelt_gkg_observation,moneycontrol.com,"HSBC reiterates bullishness on ITC on attractive risk-reward ratio, hikes target price",https://www.moneycontrol.com/news/business/markets/hsbc-reiterates-bullishness-on-itc-on-attractive-risk-reward-ratio-hikes-target-price-12834615.html,DIRECTLY_RELEVANT,"Direct operational earnings, NCLT hotel demerger approval, IT acquisition, or standalone brokerage rating for ITC Limited."
ITC_OCT_AUDIT_008,a2bbb867a3bff106bf66a861b504250921b41064,,gdelt_gkg_observation,indiatimes.com,"Big movers on D-Street: What should investors do with Godrej Properties, Angel One and ITC?",https://economictimes.indiatimes.com/markets/stocks/news/big-movers-on-d-street-what-should-investors-do-with-godrej-properties-angel-one-and-itc/articleshow/113922520.cms,INDIRECTLY_RELEVANT,Indirect financial / multi-asset mention.
ITC_OCT_AUDIT_009,9d334985d78f66738544671801e7734ed5e43437,,gdelt_gkg_observation,businesstoday.in,"YES Bank, Larsen & Toubro, ITC: How to trade these 3 buzzing stocks",https://www.businesstoday.in/markets/company-stock/story/yes-bank-larsen-toubro-itc-how-to-trade-these-3-buzzing-stocks-448633-2024-10-04,INDIRECTLY_RELEVANT,Indirect financial / multi-asset mention.
ITC_OCT_AUDIT_010,08c88ac19cd5307a93fd0ea1166e742f3979afe8,,gdelt_gkg_observation,mondaq.com,WIT ITC Report: Chief Administrative Law Judge Clark Cheney - International Trade & Investment - International Law,https://www.mondaq.com:443/unitedstates/international-trade-investment/1525206/wit-itc-report-chief-administrative-law-judge-clark-cheney,NOT_RELEVANT,"False positive acronym collision (USITC legal report, Maharashtra VAT ITC tax litigation, or San Antonio Texan Cultures building)."
