gkg_record_id,date,source,document_url,headline,human_label,notes
20250101000000-T485,20250101000000,elsalvador.com,https://www.elsalvador.com/entretenimiento/espectaculos/monica-casamiquela-despedida-gratitud-ultimo-dia-tcs-liberadas/1190894/2024/,Mónica Casamiquela fue despedida con gratitud en su último día en TCS,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101004500-272,20250101004500,livemint.com,https://www.livemint.com/technology/companies-expected-to-increase-gen-ai-investments-by-half-this-year-11735644447856.html,Companies expected to increase Gen AI investments by half this year,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101020000-T310,20250101020000,indiatimes.com,https://navbharattimes.indiatimes.com/business/share-market/share-news/stock-market-prediction-today-these-shares-including-crisil-and-rites-showing-bullish-bias/articleshow/116838976.cms,"Stocks to Watch: नए साल के पहले दिन Crisil और Rites समेत ये शेयर कराएंगे फायदा, तेजी के संकेत",NOT_RELEVANT,Unrelated acronym or foreign mention
20250101023000-772,20250101023000,indiatimes.com,https://economictimes.indiatimes.com/prime/technology-and-startups/indian-it-services-firms-must-redefine-their-playbook-to-crack-the-european-code/primearticleshow/116839169.cms,Indian IT services firms must redefine their playbook to crack the European code,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101023000-417,20250101023000,thehindu.com,https://www.thehindu.com/data/republicans-donald-trump-team-diverge-on-immigration/article69045518.ece,Republicans and Trump's team diverge on immigration,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101030000-304,20250101030000,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-january-1-2025/article69047392.ece,"Stock Market Live Updates January 1, 2025: Stock to buy today: Petronet LNG (₹346) BUY",NOT_RELEVANT,Unrelated acronym or foreign mention
20250101034500-T67,20250101034500,tarunbharat.com,https://www.tarunbharat.com/sensex-falls-in-final-session-of-2024/,Sensex falls in final session of 2024,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101053000-99,20250101053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-0-03-in-an-upbeat-market/articleshow/116846952.cms,Indices: Stock market update: Nifty IT index 0.03% in an upbeat market,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101090000-T1628,20250101090000,business-standard.com,https://hindi.business-standard.com/companies/tcs-q3-results-result-will-be-announced-on-9th-january-record-date-for-third-dividend-keep-an-eye-on-final-stock-id-399196,"TCS Q3 results: 9 जनवरी को होगा रिजल्ट का ऐलान, तीसरे डिविडेंड के लिए रिकॉर्ड डेट फाइनल; स्टॉक पर रखें नजर - tcs q3 results result will be announced on 9th january record date for third dividend keep an eye on final stock",DIRECTLY_RELEVANT,"TCS Q3/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20250101113000-399,20250101113000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-0-08/articleshow/116855852.cms,Indices: Stock market update: Nifty IT index 0.08%,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101113000-T2609,20250101113000,jagran.com,https://www.jagran.com/uttar-pradesh/lucknow-city-uttar-pradesh-rojgar-mission-to-provide-employment-opportunities-for-youth-by-yogi-government-23859308.html,"यूपी के युवाओं के लिए बड़ी खुशखबरी, योगी सरकार ने रोजगार मिशन का किया गठन... विदेशों में भी नौकरी के अवसर - uttar pradesh Rojgar Mission to Provide Employment Opportunities for Youth by yogi government",NOT_RELEVANT,Unrelated acronym or foreign mention
20250101120000-639,20250101120000,rediff.com,https://www.rediff.com/business/special/it-cos-will-ai-like-y2k-be-gamechanger/20250101.htm,"IT Cos: Will AI, Like Y2K, Be Gamechanger? - Rediff.com Business",NOT_RELEVANT,Unrelated acronym or foreign mention
20250101120000-547,20250101120000,livemint.com,https://www.livemint.com/industry/the-visas-dividing-maga-world-help-power-the-us-tech-industry-11735729071586.html,The visas dividing MAGA world help power the US tech industry,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101131500-685,20250101131500,dailypioneer.com,https://www.dailypioneer.com/2025/business/sensex-declines-109-pts-in-final--session--ends-2024-with-over-8-pc-gains.html,"Sensex declines 109 pts in final session, ends 2024 with over 8 pc gains",NOT_RELEVANT,Unrelated acronym or foreign mention
20250101143000-2,20250101143000,indianexpress.com,https://indianexpress.com/article/cities/kolkata/west-bengal-silicon-valley-kalighat-skywalk-west-bengal-expected-gains-9755035/,From Bengal's Silicon Valley to the Kalighat skywalk: 5 expected gains for West Bengal this year | Kolkata News,NOT_RELEVANT,Unrelated acronym or foreign mention
20250101193000-204,20250101193000,sott.net,https://www.sott.net/article/496966-India-intensifies-lobbying-against-H-1B-curbs-in-touch-with-US-govt-at-every-level,"India intensifies lobbying against H-1B curbs, in touch with US govt 'at every level'",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102001500-T1091,20250102001500,oltnertagblatt.ch,https://www.oltnertagblatt.ch/solothurn/kanton-solothurn/stuetzpunkt-oensingen-fuer-sorglose-und-sichere-fahrt-unterwegs-mit-dem-tcs-pannendienst-auf-den-solothurner-strassen-ld.2715257,TCS-Patrouilleur über die Tücken des Abschleppseils,NOT_RELEVANT,Unrelated acronym or foreign mention
20250102011500-262,20250102011500,fool.com.au,https://www.fool.com.au/2025/01/02/id-buy-these-2-asx-etfs-for-income-and-diversification-in-2025/,I'd buy these 2 ASX ETFs for income and diversification in 2025,NOT_RELEVANT,Unrelated acronym or foreign mention
20250102051500-2,20250102051500,theweek.in,https://www.theweek.in/wire-updates/business/2025/01/02/del5-biz-stocks-open.html,Markets climb in early trade on buying in IT bank stocks,NOT_RELEVANT,Unrelated acronym or foreign mention
20250102053000-457,20250102053000,indianexpress.com,https://indianexpress.com/article/cities/mumbai/markets-climb-in-early-trade-on-buying-in-it-bank-stocks-9755831/,"Markets climb in early trade on buying in IT, bank stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102053000-736,20250102053000,indiatimes.com,https://economictimes.indiatimes.com/nri/work/indian-it-biggies-like-tcs-hcltech-may-have-nothing-to-worry-about-when-it-comes-to-h-1b-visa-changes/articleshow/116871975.cms,H-1B visa: Indian IT biggies like TCS & HCLTech may have nothing to worry about when it comes to H-1B visa changes,DIRECTLY_RELEVANT,"TCS Q3/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20250102060000-197,20250102060000,thehindu.com,https://www.thehindu.com/business/markets/sensex-nifty-updates-on-january-2-2025/article69052607.ece,"Sensex, Nifty climb in early trade on buying in IT, bank stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102063000-747,20250102063000,businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/tcs-dividend-record-date-announced-check-q3-results-date-share-price-target-more-459281-2025-01-02,"TCS dividend record date announced; check Q3 results date, share price target & more",DIRECTLY_RELEVANT,"TCS Q3/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20250102070000-591,20250102070000,tribuneindia.com,https://www.tribuneindia.com/news/business/markets-climb-in-early-trade-on-buying-in-it-bank-stocks/,"Markets climb in early trade on buying in IT, bank stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102073000-337,20250102073000,indianexpress.com,https://indianexpress.com/article/business/market/markets-climb-in-early-trade-on-buying-in-it-bank-stocks-9755831/,"Markets climb in early trade on buying in IT, bank stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102081500-T2343,20250102081500,dainiktribuneonline.com,https://www.dainiktribuneonline.com/news/nation/stock-market-news-greenery-prevails-in-the-stock-market-sensex-jumps-242-points-in-early-trade/,"Stock Market News: शेयर बाजार में छाई हरियाली, शुरुआती कारोबार में सेंसेक्स 242 अंक उछला",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102083000-666,20250102083000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/sensex-higher-nifty-rallies-past-200-dma-on-earnings-optimism-and-consumption-revival-top-factors-at-play-12901908.html,"Share Market UP Today: Sensex soars 1,000 pts, Nifty rallies past 24,000 on earnings optimism and consumption revival: Top factors at play",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102093000-795,20250102093000,businesstoday.in,https://www.businesstoday.in/nri/visa/story/tcs-wipro-infosys-hcl-us-h-1b-visa-policy-reforms-can-positively-affect-the-indian-it-firms-report-459306-2025-01-02,"TCS, Wipro, Infosys, HCL: US H-1B visa policy reforms can positively affect the Indian IT firms- Report",DIRECTLY_RELEVANT,"TCS Q3/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20250102100000-1109,20250102100000,indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/2025-forecast-what-does-2025-hold-for-indias-it-services-sector-tech-jobs-it-hiring-it-sector/articleshow/116880465.cms,What does 2025 hold for India's IT services sector?,NOT_RELEVANT,Unrelated acronym or foreign mention
20250102114500-160,20250102114500,dailypioneer.com,https://www.dailypioneer.com/2025/business/markets-climb-in-early-trade-on-buying-in-it--bank-stocks.html,"Markets climb in early trade on buying in IT, bank stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102164500-790,20250102164500,rcrwireless.com,https://www.rcrwireless.com/20250102/featured/bsnl-4g-towers,"BSNL nears milestone of 100,000 made-in-India 4G towers",NOT_RELEVANT,Unrelated acronym or foreign mention
20250102191500-973,20250102191500,indiatimes.com,https://timesofindia.indiatimes.com/technology/tech-news/indian-it-companies-may-have-little-to-worry-about-h-1b-visa-says-report-suggests-these-changes-in-the-visa-programme/articleshow/116893698.cms,Indian IT companies may have little to worry about H-1B visa says report; suggests these 'changes' in the visa programme,NOT_RELEVANT,Unrelated acronym or foreign mention
20250102203000-T428,20250102203000,andhrajyothy.com,https://www.andhrajyothy.com/2025/andhra-pradesh/visakhapatnam/tcs-at-millennium-towers-1355164.html,మిలీనియం టవర్స్‌లో టీసీఎస్‌ | TCS at Millennium Towers,NOT_RELEVANT,Unrelated acronym or foreign mention
20250102234500-T228,20250102234500,eenadu.net,https://www.eenadu.net/telugu-news/business/tcs-third-quarter-figures-on-9th-of-this-month/0101/125001337,TCS: ఐటీ ఫలితాలు మురిపిస్తాయ్‌,NOT_RELEVANT,Unrelated acronym or foreign mention
20250103001500-1340,20250103001500,prnewswire.com,https://www.prnewswire.com/news-releases/third-party-banking-software-market-to-grow-by-usd-10-56-billion-2025-2029-digital-payment-solutions-boost-growth-ai-impact-on-market-trends---technavio-302340472.html,"Third-Party Banking Software Market to Grow by USD 10.56 Billion (2025-2029), Digital Payment Solutions Boost Growth, AI Impact on Market Trends",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103001500-1509,20250103001500,tmcnet.com,https://www.tmcnet.com/usubmit/2025/01/02/10125630.htm,"Third-Party Banking Software Market to Grow by USD 10.56 Billion (2025-2029), Digital Payment Solutions Boost Growth, AI Impact on Market Trends",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103001500-T16,20250103001500,andhrajyothy.com,https://www.andhrajyothy.com/2025/andhra-pradesh/state-cabinet-approves-bpc-tcs-projects-attracting-major-investments-1355208.html,"Investments: భారీ పెట్టుబడులు సాకారం! | State Cabinet Approves BPC, TCS Projects, Attracting Major Investments",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103004500-385,20250103004500,lelezard.com,https://www.lelezard.com/en/news-21654637.html,"Third-Party Banking Software Market to Grow by USD 10.56 Billion (2025-2029), Digital Payment Solutions Boost Growth, AI Impact on Market Trends",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103010000-391,20250103010000,eturbonews.com,https://eturbonews.com/tcs-world-travel-announces-2017-trip-schedule/,TCS World Travel announces 2017 trip schedule,NOT_RELEVANT,Unrelated acronym or foreign mention
20250103060000-779,20250103060000,latestly.com,https://www.latestly.com/agency-news/india-news-markets-decline-in-initial-trade-dragged-by-bank-it-stocks-6537230.html,"India News | Markets Decline in Initial Trade Dragged by Bank, IT Stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103060000-796,20250103060000,indianexpress.com,https://indianexpress.com/article/business/market/markets-decline-in-initial-trade-dragged-by-bank-it-stocks-9757735/,"Markets decline in initial trade dragged by bank, IT stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103060000-213,20250103060000,thehindu.com,https://www.thehindu.com/business/markets/sensex-and-nifty-updates-on-january-3-2024/article69056443.ece,"Markets decline in initial trade dragged by bank, IT stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103064500-282,20250103064500,tribuneindia.com,https://www.tribuneindia.com/news/business/markets-decline-in-initial-trade-dragged-by-bank-it-stocks/,"Markets decline in initial trade dragged by bank, IT stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103074500-250,20250103074500,moneycontrol.com,https://www.moneycontrol.com/technology/infosys-tcs-among-top-5-global-beneficiaries-of-h-1b-visa-ahead-of-meta-apple-report-article-12902696.html,"Infosys, TCS make global top 5 beneficiaries of H-1B visa, beat Meta, Apple: Report",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103084500-69,20250103084500,indiatimes.com,https://timesofindia.indiatimes.com/this-is-how-you-should-invest-in-indian-tech-stocks-in-2025/articleshow/116908962.cms,This is how you should invest in Indian tech stocks in 2025,NOT_RELEVANT,Unrelated acronym or foreign mention
20250103094500-T199,20250103094500,punjabkesari.in,https://www.punjabkesari.in/business/news/growing-interest-of-chinese-investors-in-indian-stock-market-2084027,"Indian Stock Market में बढ़ा चीनी निवेश, चीन के केंद्रीय बैंक ने चुपके से बना लिया 40,000 करोड़ का पोर्टफोलियो - growing interest of chinese investors in indian stock market",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103113000-324,20250103113000,thehindu.com,https://www.thehindu.com/business/markets/sensex-nifty-tank-nearly-1-on-selloff-in-banking-it-stocks/article69057252.ece,"Sensex, Nifty tank nearly 1% on selloff in banking, IT stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103113000-T2309,20250103113000,moneycontrol.com,https://hindi.moneycontrol.com/news/markets/share-market-today-sensex-falls-720-points-nifty-downs-at-24000-investors-wealth-drops-rs-80000-crore-1948264.html,"Share Market Today: शेयर बाजार में निवेशकों के ₹80,000 करोड़ डूबे, सेंसेक्स में 720 अंकों की तेज गिरावट",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103114500-44,20250103114500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-falls/articleshow/116915916.cms,Stock Market Sectors: Stock market update: Fertilisers stocks up as market falls,NOT_RELEVANT,Unrelated acronym or foreign mention
20250103114500-676,20250103114500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-1-41/articleshow/116915566.cms,Indices: Stock market update: Nifty IT index 1.41%,NOT_RELEVANT,Unrelated acronym or foreign mention
20250103120000-1016,20250103120000,theweek.in,https://www.theweek.in/wire-updates/business/2025/01/03/del40-biz-stocks-close.html,Sensex Nifty tank nearly 1 pc on selloff in banking IT stocks,NOT_RELEVANT,Unrelated acronym or foreign mention
20250103121500-522,20250103121500,india.com,https://zeenews.india.com/economy/sensex-tanks-720-60-points-to-settle-at-79223-2839156.html,"Sensex Tanks 720.60 Points To Settle At 79,223",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103134500-707,20250103134500,dailyexcelsior.com,https://www.dailyexcelsior.com/sensex-nifty-tank-nearly-1-pc-on-selloff-in-banking-it-stocks/,"Sensex, Nifty tank nearly 1 pc on selloff in banking, IT stocks",NOT_RELEVANT,Unrelated acronym or foreign mention
20250103140000-T407,20250103140000,dailykesari.com,https://www.dailykesari.com/%5C%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%95%E0%A4%BF%E0%A4%82%E0%A4%97%5C20816%5C%E0%A4%B6%E0%A5%87%E0%A4%85%E0%A4%B0-%E0%A4%AC%E0%A4%BE%E0%A4%9C%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%A4-%E0%A4%98%E0%A4%B8%E0%A4%B0%E0%A4%A3,ब्रेकिंग - Daily Kesari,NOT_RELEVANT,Unrelated acronym or foreign mention
