audit_id,article_id,date_extracted,timestamp_basis,source,headline,url,human_label,human_notes
ITC_JUL_AUDIT_001,78315b8daec8047d476913fb2bd079985ef5f704,,gdelt_gkg_observation,news18.com,"Stocks To Watch: JSW Infra, IREDA, BoB, ITC, BEL, Tata Steel, GAIL, IREDA, And Others",https://www.news18.com/business/stocks-to-watch-jsw-infra-ireda-bob-itc-bel-tata-steel-gail-ireda-and-others-8949970.html,INDIRECTLY_RELEVANT,Indirect corporate/market reference.
ITC_JUL_AUDIT_002,9c0b959c3f578c39525aee8149a52e6b7ff6070f,,gdelt_gkg_observation,financialexpress.com,"Stocks To Watch: BEL, Future Retail, ITC, Tata Steel, Cochin Shipyard",https://www.financialexpress.com/market/stocks-to-watch-bel-future-retail-telecom-companies-itc-tata-steel-cochin-shipyard-godrej-properties-jindal-stainless-3539885,INDIRECTLY_RELEVANT,Indirect corporate/market reference.
ITC_JUL_AUDIT_003,46d7aba1efc613c5d15d4fe1c61aff20f30fbdc5,,gdelt_gkg_observation,siliconindia.com,"Stocks To Focus: BEL, IREDA, ITC, Tata Steel, GAIL, IREDA, BoB",https://www.siliconindia.com/news/general/stocks-to-focus-bel-ireda-itc-tata-steel-gail-ireda-bob-nid-230474-cid-1.html,INDIRECTLY_RELEVANT,Indirect corporate/market reference.
ITC_JUL_AUDIT_004,cf2daa1a3d3cad9b0df40dd9cb489028dce1d486,,gdelt_gkg_observation,theweek.in,"Market cap tracker: Reliance, HDFC Bank gain most among Top 10 post-election; LIC, ITC lose",https://www.theweek.in/news/biz-tech/2024/07/01/market-cap-tracker-reliance-hdfc-bank-gain-most-among-top-10-post-election-lic-itc-lose.html,INDIRECTLY_RELEVANT,Broader market movements / sector commentary mentioning ITC.
ITC_JUL_AUDIT_005,d40e5d35c90de1c99a614a75e710aa8656b17e36,,gdelt_gkg_observation,indiatimes.com,ITC Tobacco exports: ITC to double raw tobacco exports to BAT by 2025-26,https://economictimes.indiatimes.com/industry/cons-products/tobacco/itc-to-double-raw-tobacco-exports-to-bat-by-2025-26/articleshow/111405689.cms,DIRECTLY_RELEVANT,"Direct corporate action, stock price movement, investment, or hotel business expansion of ITC Limited."
ITC_JUL_AUDIT_006,a1cce20e1ba87fd456f01004697d84f18882fa38,,gdelt_gkg_observation,indiatimes.com,"ITC Hotels' Brand Storii launches 'Storii Devasom spa & resort, Kolkata' | Kolkata News",https://timesofindia.indiatimes.com/city/kolkata/itc-hotels-brand-storii-launches-storii-devasom-spa-resort-kolkata/articleshow/111411188.cms,DIRECTLY_RELEVANT,"Direct corporate action, stock price movement, investment, or hotel business expansion of ITC Limited."
ITC_JUL_AUDIT_007,c37a95e4f0b6db235c510681960bc398a3b02995,,gdelt_gkg_observation,financialexpress.com,"ITC aims accelerating exports: Expands FMCG portfolio to over 70 countries, agro business reaches over 85 countries",https://www.financialexpress.com/business/industry-itc-aims-accelerating-exports-expands-fmcg-portfolio-to-over-70-countries-agro-business-reaches-over-85-countries-3541251,INDIRECTLY_RELEVANT,Indirect corporate/market reference.
ITC_JUL_AUDIT_008,22ddd1e1b9ccd48087a13ab3a443d8733af6083e,,gdelt_gkg_observation,financialexpress.com,"Stocks To Watch: Godrej Industries, HDFC Bank, ITC, YES Bank, Hindustan Zinc",https://www.financialexpress.com/market/stocks-to-watch-godrej-industries-hdfc-bank-itc-yes-bank-hindustan-zinc-3541837,INDIRECTLY_RELEVANT,Indirect corporate/market reference.
ITC_JUL_AUDIT_009,921a2143427d8fe936a37ae2b9074cd7c7318e7b,,gdelt_gkg_observation,siliconindia.com,"Stocks To Focus: Godrej Industries, HDFC Bank, ITC, YES Bank, Hindustan Zinc",https://www.siliconindia.com/news/general/stocks-to-focus-godrej-industries-hdfc-bank-itc-yes-bank-hindustan-zinc-nid-230519-cid-1.html,INDIRECTLY_RELEVANT,Indirect corporate/market reference.
ITC_JUL_AUDIT_010,f79dc62c2c5eab61081b0868cb37448b5fe1c439,,gdelt_gkg_observation,business-standard.com,"Analysts pick stocks to buy as Sensex hits 80,000; HDFC Bank, ITC top bets",https://www.business-standard.com/markets/news/analysts-pick-stocks-to-buy-as-sensex-hits-80-000-hdfc-bank-itc-top-bets-124070300389_1.html,INDIRECTLY_RELEVANT,Broader market movements / sector commentary mentioning ITC.
