gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,human_label,notes
20240401030000-506,20240401030000,livemint.com,https://www.livemint.com/news/india/mid-and-small-cap-correction-likely-over-froth-cleared-hdfc-securities-relli-11711871429963.html,"Mid- and small-cap correction likely over, froth cleared: HDFC Securities' Relli",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401044500-563,20240401044500,hindustantimes.com,https://www.hindustantimes.com/business/stock-market-today-sensex-nifty-hit-record-high-on-first-day-of-fy25-3-key-factors-behind-rally-101711945364784.html,"Stock market today| Sensex, Nifty hit record high on first day of FY25: 3 key factors behind rally",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401053000-280,20240401053000,thehindubusinessline.com,https://www.thehindubusinessline.com/money-and-banking/rbi-imposes-74-crore-fine-on-64-lenders-amid-heightened-supervision-in-fy24/article68013686.ece,RBI imposes ₹74 crore fine on 64 lenders amid heightened supervision in FY24,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401054500-404,20240401054500,theweek.in,https://www.theweek.in/wire-updates/business/2024/04/01/del14-biz-stocks-open.html,Sensex Nifty hit all-time high in early trade,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401060000-714,20240401060000,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274220900/stock-market-opens-on-a-bullish-note-nifty-sensex-surge,Stock market opens on a bullish note: Nifty-Sensex surge,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401063000-594,20240401063000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/sensex-and-nifty-hit-all-time-high-in-early-trade-amid-firm-trends-from-asian-markets-and-foreign-fund-inflows/cid/2010373,Stock market | Sensex and Nifty hit all-time high in early trade amid firm trends from Asian markets and foreign fund inflows,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401063000-811,20240401063000,indianexpress.com,https://indianexpress.com/article/business/market/sensex-nifty-50-all-time-high-jsw-steel-tata-steel-hdfc-bank-9244445/,"Sensex, Nifty hit all-time high in first trading session of FY25",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401063000-763,20240401063000,ticker.com,"https://ticker.com/Asia-Stock-Movers-News-Today/India--Movers:-Chennai-Petroleum,-Garden-Reach,-Indian-Oil,-Infosys,-NCC,-Prestige-Estates,-RVNL,-Torrent-Power,-Veranda-Learning/Apr%201-2024/T-28053","India Movers: Chennai Petroleum, Garden Reach, Indian Oil, Infosys, NCC, Prestige Estates, RVNL, Torrent Power, Veranda Learning",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401070000-497,20240401070000,latestly.com,https://www.latestly.com/agency-news/india-news-sensex-nifty-hit-all-time-high-in-early-trade-5860084.html,"Stock Market Today: Sensex, Nifty Hit All-time High in Early Trade",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401070000-80,20240401070000,nigeriasun.com,https://www.nigeriasun.com/news/274220900/stock-market-opens-on-a-bullish-note-nifty-sensex-surge,Stock market opens on a bullish note: Nifty-Sensex surge,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401071500-633,20240401071500,fortuneindia.com,https://www.fortuneindia.com/long-reads/managing-inter-generational-workforce/116287,"Fortune India: Business News, Strategy, Finance and Corporate Insight",REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
20240401071500-903,20240401071500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/which-stocks-and-sectors-will-be-in-focus-in-april-series-as-per-rollover-data-12553551.html,Which stocks and sectors will be in focus in April Series as per rollover data?,REJECTED_ENTITY_MATCHER,False,,NOT_RELEVANT,V2Organizations-only match without Kotak Bank in headline
