record_id,stage,page_title,url,source,DATE,reason
20240101003000-591,entity_matcher_rejected,"market: After a lacklustre 2023, will 2024 be a year of mega-caps?",https://economictimes.indiatimes.com/markets/stocks/news/after-a-lacklustre-2023-will-2024-be-a-year-of-mega-caps/articleshow/106428572.cms,indiatimes.com,20240101003000,Entity matcher rejected (no positive signal or matched exclusion)
20240101010000-720,entity_matcher_rejected,market: 15 stocks across m-caps to beat market returns,https://economictimes.indiatimes.com/markets/stocks/news/15-stocks-across-m-caps-to-beat-market-returns/articleshow/106428706.cms,indiatimes.com,20240101010000,Entity matcher rejected (no positive signal or matched exclusion)
20240101010000-201,entity_matcher_rejected,artificial intelligence: India job scene sees early signs of disruption from AI,https://economictimes.indiatimes.com/tech/technology/india-job-scene-sees-early-signs-of-disruption-from-ai/articleshow/106422589.cms,indiatimes.com,20240101010000,Entity matcher rejected (no positive signal or matched exclusion)
20240101024500-T283,entity_matcher_rejected,"Ola Electric get approval PLI scheme HDFC raised ₹29,829 crore last week, Kawasaki Ninja ZX-6R launched today | ओला इलेक्ट्रिक PLI स्कीम की मंजूरी पाने वाली पहली कंपनी: बोइंग B737 मैक्स विमान का एक बोल्ट लूज मिला, कावासाकी निंजा ZX-6R आज लॉन्च होगी",https://www.bhaskar.com/business/news/ola-electric-get-approval-pli-scheme-hdfc-raised-29829-crore-last-week-kawasaki-ninja-zx-6r-launched-today-132376224.html,bhaskar.com,20240101024500,Entity matcher rejected (no positive signal or matched exclusion)
20240101033000-276,entity_matcher_rejected,Stock Market Today: Top 10 things to know before the market opens,https://www.moneycontrol.com/news/business/markets/stock-market-today-top-10-things-to-know-before-the-market-opens-200-11808861.html,moneycontrol.com,20240101033000,Entity matcher rejected (no positive signal or matched exclusion)
20240101040000-387,entity_matcher_rejected,It's a big election year around the world. Here's where the pros are watching,https://www.cnbc.com/2024/01/01/its-a-big-election-year-around-the-world-heres-where-the-pros-are-watching.html,cnbc.com,20240101040000,Entity matcher rejected (no positive signal or matched exclusion)
20240101053000-106,entity_matcher_rejected,active stocks: Share market update: Most active stocks of the day in terms of total traded value,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/106433321.cms,indiatimes.com,20240101053000,Entity matcher rejected (no positive signal or matched exclusion)
20240101053000-137,entity_matcher_rejected,52 week high stocks: Stock market update: Stocks that hit 52-week lows on NSE,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/106433494.cms,indiatimes.com,20240101053000,Entity matcher rejected (no positive signal or matched exclusion)
20240101060000-361,entity_matcher_rejected,"Stock Market Updates: 2024 Sees A Flat Start, Sensex Down 207 Pts, Nifty Declines By 46 Pts",https://www.news18.com/business/stock-market-updates-today-news-sensex-nifty-january-1-8724065.html,news18.com,20240101060000,Entity matcher rejected (no positive signal or matched exclusion)
20240101064500-590,entity_matcher_rejected,share market: Share market update: Most active stocks on D-Street today in terms of volume,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/articleshow/106437626.cms,indiatimes.com,20240101064500,Entity matcher rejected (no positive signal or matched exclusion)
20240101064500-536,entity_matcher_rejected,52 week high stocks: Stock market update: Stocks that hit 52-week highs on NSE,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse/articleshow/106436923.cms,indiatimes.com,20240101064500,Entity matcher rejected (no positive signal or matched exclusion)
20240101064500-160,entity_matcher_rejected,"AI Jobs: India job scene sees early signs of disruption from AI, ET Telecom",https://telecom.economictimes.indiatimes.com/news/internet/india-job-scene-sees-early-signs-of-disruption-from-ai/106429304,indiatimes.com,20240101064500,Entity matcher rejected (no positive signal or matched exclusion)
20240101070000-T1321,entity_matcher_rejected,"Success Story: इन्फोंसिस की नौकरी छोड़ी, बेटे की परवरिश के साथ-साथ पढ़ाई, ट्रैनिंग के बाद अब DSP बनीं रश्मि शर्मा",https://hindi.news18.com/states/news/himachal-pradesh/shimla-mandi-girl-rasmi-sharma-becomes-dsp-after-leave-infosys-jobs-clears-has-exam-now-completed-her-training-7945800.html,news18.com,20240101070000,Entity matcher rejected (no positive signal or matched exclusion)
